References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC
"C1, C2, C3, C4, C5, C6, C7, C11, C13, C14,",10,0.1uF 0603 Capacitors_SMD:C_0603_1608Metric,Yageo,CC0603KRX7R8BB104,AVX,06035C104K4T2A,KEMET,C0603C104K3RACTU,399-7845-1-ND,603CC603KRX7R8BB104,8015340,68R4780,2478241,C56476
"C8, C9, C10,",3,22uF 0603 Capacitors_SMD C_0603_1608Metric,TDK,C1608X5R1A226M080AC,Murata,GRM188C80J226ME15D,Yageo,CC0603MRX5R5BB226,311-1815-6-ND,810C1608X5R1A226M,9159114,82AC9295,2494232,C84419
"C12,",1,82pF 0603 Capacitors_SMD:C_0603_1608Metric,AVX,04025A820FAT2A,KEMET,C0603C820F5GACTU,Murata,GRM0335C1H820GA01D,399-7959-6-ND,81GRM1555C1H820JA1D,1356754,96Y7085,1740575,C193091
"R1,",1,680K ohms 0805 1% Resistors_SMD:R_0805_2012Metric,Panasonic,ERA6AEB684V,Yageo,RC0805FR-07680KL,,,P680KDACT-ND,667ERA6AEB684V,1848863,62W9121,9237976,C137499
"R2,",1,21K ohms 0805 1% Resistors_SMD:R_0805_2012Metric,Panasonic,ERA6AEB2102V,Yageo,RC0805FR-0721KL,,,P21KDADKR-ND,603RC0805FR0721KL,7086519,,1652956,C137569
"R3,",1,66.5 ohms 0805 0.1% Resistors_SMD:R_0805_2012Metric,TE Connectivity,RQ73C2A66R5BTDF,Panasonic,ERA6AEB66R5V,,,A140755DKR-ND,667ERA6AEB66R5V,1233070,,3229398,
"R4,",1,7.87K ohms 0805 Resistors_SMD:R_0805_2012Metric,Panasonic,ERA6AEB7871V,TE Connectivity,RN73C2A7K87BTG,,,P7.87KDACT-ND,667ERA6AEB7871V,7088690P,,1809824,C413747
"R5, R6, R7, R8,",4,100K ohms 0805 Resistors_SMD:R_0805_2012Metric,TE Connectivity,CPF0805B100KE,Panasonic,ERA-6AEB104V,TE Connectivity,RN73C2A100KBTDF,P100KDACT-ND,667ERA6AEB104V,566765,08N2143,1577686,C96346
"R9,",1,220 ohms 0805 Resistors_SMD:R_0805_2012Metric,TE Connectivity,CPF0805B220RE1,Panasonic,ERA6AEB221V,Vishay,CRCW0805220RFKEAHP,P220DADKR-ND,71CRCW0805220RFKEAH,566913,01X1371,1577649,C114519
"R10,",1,100 ohms 0805 Resistors_SMD:R_0805_2012Metric,Panasonic,ERA6AEB101V,TE Connectivity,2-2176091-4,TE Connectivity,CPF0805B100RE1,P100DACT-ND,667ERA6AEB101V,7217662,,1750741,C143843
"R11,",1,5.1K ohms 0805 Resistors_SMD:R_0805_2012Metric,Panasonic,ERA6AEB512V,Vishay,CRCW08055K10FKEA,,,P5.1KDACT-ND,667ERA6AEB512V,6791569P,,1670237,C186492
"D1, D2,",2,LED GREEN LEDs:LED_0805_2012Metric_Castellated,Lite-On,LTST-C171KGKT,Lite-On,LTST-C190GKT,Avago,HSMG-C190,160-1183-1-ND,859LTSTC190GKT,6920975,68Y1165,2497374,C98224
"LD1,",1,Laserdiode_N_TYPE ADN8810ACPZ:ADL-65055TL,LASER COMPONENTS,ADL-65055TL,,,,,,,,,1272658,
"Q1,",1,"50V Vds, 0.22 A Id, N-channel MOSFET, SOT-23:SOT95P280X145-6N",ON Semiconductor,FDC637BNZ,,,,,FDC637BNZCT-ND,512FDC637BNZ,,95W3155,2322581,C68302
"U1,",1,ADN8810ACPZ ADN8810ACPZ:ADN8810ACPZ,Analog Devices,ADN8810ACPZ,,,,,ADN8810ACPZ-ND,584ADN8810ACPZ,7089833,27X8183,2377083,
"U2,",1,"Dual CMOS Operational Amplifiers, Zero-Drift Series, 1.8-V, microPower:SOT95P280X145-6N",Texas Instruments,OPA320SAIDBVT,,,,,296-36434-1-ND,595OPA320SAIDBVT,,33AH4590,3004957,
"U3,",1,ADR292GRUZ ADN8810ACPZ:ADR292GRUZ,Analog Devices,ADR292GRUZ,,,,,ADR292GRUZ-ND,584ADR292GRUZ,7098168,14AC3018,2727741,
